SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,18.6768,17.2156,-2.99106,3.74287,18.6148,17.3832,18.7142,17.2866,-2.72534,3.95127,1.9082
R,18.5752,17.4192,-2.91909,3.77409,18.8177,17.0316,18.5752,17.4822,-2.83299,3.87489,6.06501
L,18.3593,17.6134,-3.1416,3.68487,18.1023,17.5529,18.4309,17.674,-2.93858,3.79568,3.84928
R,18.2232,17.8049,-3.14687,3.66786,18.2749,17.4877,18.2814,17.8617,-3.042,3.71372,2.37165
L,18.092,17.9904,-3.19218,3.60011,18.2094,18.0461,18.1268,18.0453,-3.14318,3.62906,0.909253
R,17.9165,18.145,-3.33275,3.4457,18.3021,17.498,17.9671,18.2246,-3.24204,3.5418,1.9921
L,17.7871,18.2857,-3.34979,3.31798,17.9018,18.2183,17.8026,18.3994,-3.3385,3.45199,1.07474
R,17.6548,18.466,-3.3598,3.28119,18.8558,18.1365,17.6334,18.5697,-3.43247,3.35973,6.6523
L,17.4582,18.6495,-3.49174,3.22382,17.3845,18.7039,17.4595,18.7353,-3.5239,3.26509,0.512802
R,17.2782,18.7901,-3.58913,3.08773,17.7945,18.0801,17.281,18.8962,-3.61271,3.16817,1.7564
L,17.1177,18.926,-3.63018,2.97149,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904,0.304528
R,16.9504,19.0963,-3.67227,2.93358,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678,3.05268
L,16.7329,19.2125,-3.79188,2.78517,16.5734,19.052,16.7201,19.3488,-3.86278,2.86455,2.70463
R,16.5423,19.3663,-3.87417,2.70562,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75938,3.24876
L,16.3148,19.5296,-4.0039,2.64599,16.2338,19.6171,16.3262,19.6246,-4.01531,2.65237,0.866066
R,16.0924,19.6125,-4.11527,2.42839,16.4366,18.2742,16.1237,19.7545,-4.08716,2.54364,10.0801
L,15.8861,19.7571,-4.18664,2.35751,15.9243,19.8703,15.9176,19.8789,-4.15602,2.43329,0.767101
R,15.6984,19.8811,-4.16905,2.31911,16.2328,19.2166,15.7082,19.9978,-4.22185,2.32141,3.22634
L,15.4655,20.0357,-4.2734,2.27877,15.4332,20.1836,15.4956,20.111,-4.28461,2.2081,1.32334
R,15.2525,20.1789,-4.32129,2.24336,14.3677,21.3406,15.2799,20.2185,-4.34427,2.09347,5.66415
L,15.0651,20.3094,-4.32897,2.18373,15.2016,20.4385,15.0613,20.3203,-4.4008,1.97763,1.87131
R,14.8344,20.3924,-4.40704,2.02065,14.7476,19.9571,14.84,20.4162,-4.4542,1.86068,2.13729
L,14.6188,20.5113,-4.44984,1.95077,14.6665,20.6088,14.6161,20.5063,-4.50443,1.74272,0.625235
R,14.381,20.5994,-4.53738,1.79801,13.841,21.0031,14.3897,20.5904,-4.55149,1.62386,1.27054
L,14.1347,20.6733,-4.60711,1.65654,14.0521,20.5924,14.1611,20.6686,-4.59537,1.50421,0.709534
R,13.8967,20.7454,-4.67295,1.49747,13.8232,20.859,13.9304,20.7408,-4.63606,1.38386,0.367714
L,13.6218,20.8097,-4.77311,1.34983,13.4686,20.7253,13.6977,20.807,-4.67357,1.26294,1.6623
R,13.3723,20.8415,-4.84798,1.09952,13.8263,20.4261,13.4632,20.8671,-4.70789,1.14153,2.39936
L,13.1275,20.8817,-4.87662,0.9374,13.1072,20.8294,13.2271,20.9211,-4.73904,1.01975,0.167763
R,12.895,20.9406,-4.88587,0.830501,13.2669,21.1579,12.9895,20.969,-4.76702,0.897694,1.77774
L,12.6989,20.9821,-4.83277,0.706825,12.8729,21.0592,12.7506,21.0108,-4.79186,0.775469,1.99743
R,12.4447,21.0236,-4.87793,0.575084,11.5171,21.6724,12.5106,21.0465,-4.81358,0.653175,2.5491
L,12.1986,21.0604,-4.89997,0.455059,12.2062,21.11,12.2695,21.0761,-4.83219,0.530912,0.13655
R,11.9596,21.0803,-4.90898,0.302395,12.3859,21.1066,12.0276,21.0996,-4.84773,0.408778,0.959866
L,11.7188,21.0501,-4.89099,0.0863613,11.6814,20.8651,11.785,21.117,-4.86022,0.286869,1.91926
R,11.4715,21.0367,-4.8907,-0.0867902,11.5265,20.6748,11.5418,21.1283,-4.86971,0.165281,1.08184
L,11.2581,21.0289,-4.83724,-0.228104,11.363,21.0688,11.2982,21.1335,-4.87623,0.0441057,0.703888
R,11.0034,20.9906,-4.83926,-0.419783,10.5558,20.5567,11.0544,21.1327,-4.87982,-0.076565,4.13967
L,10.7958,20.9513,-4.76333,-0.588182,10.8903,20.927,10.8105,21.1259,-4.88053,-0.196643,0.581151
R,10.5488,20.9497,-4.74268,-0.614537,9.30535,21.3896,10.5666,21.1131,-4.8784,-0.31604,5.58895
L,10.2647,20.9786,-4.82735,-0.639961,10.189,21.209,10.3229,21.0943,-4.87349,-0.434674,3.41769
R,10.0264,20.9599,-4.80841,-0.731888,9.97958,21.2932,10.0795,21.0697,-4.86585,-0.552463,1.02302
L,9.83616,20.9194,-4.7071,-0.859204,9.99634,20.9797,9.83658,21.0391,-4.85554,-0.669327,1.6516
R,9.60467,20.9096,-4.66499,-0.850082,9.38223,21.111,9.59422,21.0028,-4.84262,-0.785189,2.32506
L,9.41407,20.857,-4.57162,-0.976495,9.53921,20.8762,9.35258,20.9607,-4.82714,-0.899977,0.939301
R,9.1953,20.8144,-4.53698,-1.07813,9.63392,20.9724,9.11177,20.9128,-4.80919,-1.01362,1.45806
L,8.89701,20.7851,-4.63936,-1.14054,8.70331,20.8221,8.87192,20.8594,-4.78881,-1.12605,2.39544
